,Expert,Institution
751,Penn State,College Football Playoff
752,Joseph Polchinski,Kavli Institute for Theoretical Physics
753,Jean Bourgain,Institute for Advanced Study
754,Ciprian Demeter,Indiana University
755,Asimina Arvanitaki,Perimeter Institute for Theoretical Physics
756,Surjeet Rajendran,University of California
757,Mohammed Abouzaid,Columbia University Hugo
758,Benjamin Elias,Columbia University Hugo
759,Benjamin Elias,University of Oregon
760,Geordie Williamson,Kyoto University
761,Julien Lafortune,University of California at Berkeley
762,Rucker C. Johnson,University of California at Berkeley
763,John W. Huffman,Clemson University
764,Karl Widerquist,Georgetown University
765,Yechiel Gaoni,Hebrew University of Jerusalem
766,Ronald E. Dahl,Institute of Human Development
767,Paul Thompson,University of Southern California
768,Elseline Hoekzema,Leiden University
769,C. Jeffrey Waddoups,University of Nevada
770,Stanley Rosen,University of Southern California
771,John Cacioppo,University of Chicago
772,Chapel Hill,University of North Carolina
773,Robert Dujarric,Institute of Contemporary Asian Studies
774,Alexis Dudden,University of Connecticut
775,Ni Lexiong,Shanghai University of Political Science and Law
776,Jeffrey Wolt,Iowa State University
777,Christopher E. Ramsden,National Institutes of Health
778,Stefanie Endlich,University of Arts
779,Kathy Boudin,Columbia University
780,Don Levy,Siena Research Institute
781,Joseph Stiglitz,Columbia University
782,James Martin,Fordham University
783,N. Y.,Woodstock College
784,Thomas Merton,Le Moyne College
785,Guobin Yang,University of Pennsylvania
786,Dileep Mavalankar,Indian Institute of Public Health
787,John Deskins,West Virginia University Bureau of Business and Economic Research
788,George W. Bush,New York University
789,Thomas Sugrue,New York University
790,Rucker Johnson,University of California
791,Justin Wolfers,University of Michigan
792,Lee C. Bollinger,Columbia University
793,Sergio Cavazos,University of Texas
794,Elizabeth Nash,Guttmacher Institute
795,Mission Juno,Southwest Research Institute
796,Rabbi Boteach,Oxford University
797,Art Markman,University of Texas
798,John Kasich,Electoral College
799,Patrick Murray,Monmouth University Polling Institute
800,David Jaros,University of Baltimore
801,Abraham Pizam,Rosen College of Hospitality Management
802,Irwin Garfinkel,Columbia University
803,Timothy Smeeding,University of   
804,William Gumede,University of Witwatersrand
805,Edward McCaffrey,University of Southern California Gould School of Law
806,Miranda Perry Fleischer,University of San Diego School of Law
807,Merritt Turetsky,University of Guelph
808,Tim Chambless,University of Utah
809,Robert Piper,Overseas Development Institute
810,Andra Gillespie,Emory University
811,N. J. studies,Rutgers University
812,Richard Born,Vassar College
813,Phyllis Stewart,Maryville College
814,Archie Ervin,Georgia Institute of Technology
815,Lieutenant Cleare,John Jay College of Criminal Justice
816,Edson S. Bastin,University of Chicago
817,Diego Jeronimo,University Hospital
818,Joshua M. Akey,University of Washington
819,David W. Lambert,Griffith University
820,Michael Webber,Energy Institute
821,Gerald Höfler,pathology institute
822,Bill Gates,University of British Columbia
823,N. Y. Making,Adelphi University
824,Derek Arnold,Villanova University
825,David Dennis Jr.,Morehouse College
826,Estelle B. Freedman,Stanford University
827,Christopher Kozak,Institute for Study of War
828,Paolo Messina,Institute of Environmental Geology
829,Frank Farley,Temple University
830,David Zald,Vanderbilt University
831,Bob Knight,Indiana University
832,the F. B. I.,Kent State University
833,Daniel Smith,University of Florida
834,James Lattis,University of  
835,David Shields,University of South Carolina
836,Jonathan Turley,George Washington University
837,Anthony S. Fauci,National Institute for Allergy and Infectious Diseases
838,Scott C. Weaver,University of Texas Medical Branch
839,Thomas Jefferson,University of Virginia
840,Alvaro Vargas Llosa,Independent Institute
841,Robert Huish,Dalhousie University
842,Nova Scotia,Dalhousie University
843,Fidel Castro,University of Havana
844,Andrew Parrott,Swansea University
845,Rae Greiner,Indiana University
846,John C. Calhoun,Yale University
847,David M. Kennedy,Stanford University
848,Michael Hillard,University of Southern Maine
849,Yasmin Seweid,Baruch College
850,Kim Smith,University of East London
851,James Vaupel,Max Planck Institute for Demographic Research
852,Robert Satloff,Washington Institute for Near East Policy
853,André Brock,University of Michigan
854,Elizabeth Heitman,Vanderbilt University
855,Kevin Esvelt,Massachusetts Institute of Technology
856,an M. B. A.,University of Michigan
857,John Curtice,Strathclyde University
858,Angelo Falcón,National Institute for Latino Policy
859,Susan Scafidi,Fordham University
860,Woody Holton,University of South Carolina
861,Gregg Troy,University of Florida
862,Joseph Ambash,Brown University
863,Paula B. Voos,Rutgers University
864,Kieran Fitzgerald,University of Texas M. F. A.
865,• Brock Turner,Stanford University
866,Douglas Brinkley,Rice University
867,Susan MacManus,University of South Florida
868,Adeline Murthy,University of New Mexico
869,Michael Siegel,Boston University school of public health
870,Sondra Crosby,Boston University School of Medicine
871,David Bellinger,Harvard University School of Public Health
872,Joseph Kovach,Ohio State University
873,Jack Heinemann,University of Canterbury
874,John Jay,John Jay College of Criminal Justice
875,John Jay,Bard College
876,John Jay,Prisoner Reentry Institute
877,Vivian Nixon,College and Community Fellowship
878,Sigmund Freud,Bronx Community College
879,Chris Streeter,New York Medical College
880,Zeynep Tufekci,University of North Carolina
881,Sean M. Decatur,Kenyon College
882,J. Alex Halderman,The University of Michigan
883,Randy Calderon,Havana University
884,Melissa Click,University of Missouri
885,Joan Neuberger,University of Texas
886,Anna Barney,University of Southampton
887,R. I.,Naval War College
888,Krista Jenkins,Fairleigh Dickinson University
889,Patrick Murray,Monmouth University Polling Institute
890,François Hollande,Monmouth University Polling Institute
891,K2 Dronotics,University of Alaska
892,Leo Kocher,University of Chicago
893,J. Dennis Hastert,Wheaton College
894,David John,Wheaton College
895,Bruce Psaty,University of Washington
896,Nora Volkow,National Institute on Drug Abuse
897,King Abdullah,King Abdullah University of Science and Technology
898,Hillary Clinton,Electoral College
899,Nicole Elam,ITT Technical Institutes
900,William Goldwyn,Morehouse College
901,Sarah Kelley,Villanova University
902,Mohamed Ramy,University of Bern
903,Charlotte Goetz,Technical University Braunschweig
904,Rafal Chwedoruk,University of Warsaw
905,James Stock,Harvard University
906,Michael Worobey,University of Arizona
907,Saurabh Bhargava,Carnegie Mellon University
908,Geoffrey R. Stone,University of Chicago
909,Bruce Ackerman,Yale University
910,Gerald Gamm,University of Rochester
911,Jowei Chen,University of Michigan
912,Professor Mazzone,University of Illinois
913,Nicholas Pepin,University of Portsmouth
914,Kamaljit Bawa,University of Massachusetts Boston
915,Uttam Shrestha,University of Southern Queensland
916,Anthony S. Fauci,National Institute of Allergy and Infectious Diseases
917,John J. DeGioia,Georgetown University
918,Zhang Baohui,Lingnan University
919,Antonio Rangel,California Institute of Technology
920,John A. Clithero,Pomona College
921,Page Fortna,Columbia University
922,Stephen B. Long,University of Richmond
923,Clive Oppenheimer,University of Cambridge
924,James Hammond,University of London
925,Kayla Iacovino,Arizona State University
926,Luciano Floridi,University of Oxford
927,George Washington,University of Mississippi
928,N. C.,University of North Carolina
929,Felipe Calderón,Syracuse University
930,Eric Kirby,Oregon State University
931,Jonathan Kipnis,University of Virginia
932,Yossi Yovel,Tel Aviv University
933,Lucy Cheke,University of Cambridge
934,Chuck Bennett,Johns Hopkins University
935,Janna Levin,Columbia University
936,Patrick O’Farrell,University of California
937,Patrick Chinnery,University of Cambridge
938,Damian Dowling,Monash University
939,Neil Gemmell,University of Otago
940,Rob Jackson,Stanford University
941,Jack Gerard,American Petroleum Institute
942,Greg Erickson,Florida State University
943,Kavita Patel,Johns Hopkins University Hospital
944,Ashley S. Westerman,University of Kentucky
945,Herman Pontzer,Hunter College
946,Charlie Foster,Oxford University
947,Peter Schweizer,Government Accountability Institute
948,James Capretta,American Enterprise Institute
949,Andrew Papachristos,Yale University
950,John Hagedorn,University of Illinois Criminologist
951,Bernard Vivier,Higher Institute of Work
952,S. Craig Watkins,University of Texas
953,Jedidah Isler,Vanderbilt University
954,Matthias Meyer,Max Planck Institute for Evolutionary Anthropology
955,Terry Wilson,Rutgers University
956,Shami Chatterjee,Cornell University
957,Ruchi S. Gupta,Northwestern University
958,Richard Vedder,Center for College Affordability and Productivity
959,Richard Painter,University of Minnesota
960,Brandon Garrett,University of Virginia
961,Talladega College,Talladega College
962,Chef Bob Bankert,University of Massachusetts
963,Austan Goolsbee,University of Chicago
964,Andrew Papachristos,University of Illinois at Chicago
965,Ellen Mowry,Johns Hopkins University
966,David Johnson,University of South Florida
967,Neil Malhotra,Stanford University
968,Jitu Brown,Institute for Educational Leadership
969,Dixon Chibanda,University of Zimbabwe
970,Alexander Acosta,Florida International University College of Law
971,David Leigh,University of Manchester
972,Julian Vasquez Heilig,California State University
973,Russell Rumberger,University of California
974,Darren Croft,University of Exeter
975,Kristen Hawkes,University of Utah
976,Monamie Ringhofer,Kobe University
977,Nancy Snow,Kyoto University
978,Paul Slovic,University of Oregon
979,Eduardo Gamarra,Florida International University
980,Derek Hyra,American University
981,Joshua Browder,Stanford University
982,Adrian Luckman,Swansea University
983,Dan McGrath,Colorado State University
984,Martin Makary,Johns Hopkins University School of Medicine
985,Abida Parveen,Institute of Business Administration
986,Alan Ziobrowski,Georgia State University
987,James P. Pfiiffner,George Mason University
988,Jeffrey Wasserstrom,University of California Irvine
989,Zha Daojiong,Peking University
990,N. H.,Saint Anselm College
991,Bill Clinton,University of Louisville
992,Sonia Cruz,Ana G. Mendez University
993,N. C.,Strayer University South
994,Nora Gordon,Georgetown University
995,Debra Mathews,Johns Hopkins University
996,Joel Goldstein,St. Louis University School of Law
997,Simon Johnson,Peterson Institute for International Economics
998,Jack Gerard,American Petroleum Institute
999,Susan Dunn,Williams College
1000,Harry Campbell,Stanford University
1001,Maya Cohen,Tulane University
1002,Glenn Albright,Baruch College
1003,Marlyn Allicock,University of Texas
1004,N. J.,George Washington University
1005,Ashley Farmer,Boston University
1006,Kirk Dombrowski,University of  
1007,Dinesh Manocha,University of North Carolina
1008,Dickson Despommier,Columbia University
1009,Myron Hofer,Columbia University Medical Center
1010,Jesse Richman,Old Dominion University
1011,Greg Asner,Stanford University
1012,Laura Dawson,Canada Institute
1013,Jessica Lewis McFate,Institute for Study of War
1014,Jerry Brown,Stanford University
1015,Desmond Schatz,University of Florida
1016,Testosterone Rex,University of Melbourne
1017,Charles Kurzman,University of North Carolina
1018,Martin Kroh,German Economic Research Institute
1019,Ole Miss,University of Mississippi
1020,Peter Shane,Ohio State University
1021,Caren Goldberg,Washington State University
1022,Amitai Etzioni,The George Washington University
1023,Sarah Parcak,University of Alabama at Birmingham
1024,Sally Mackenzie,University of  
1025,Rajend Mesthrie,University of Cape Town
1026,Paul Fronstin,Employee Benefit Research Institute
1027,Joe Antos,American Enterprise Institute
1028,Julian Zelizer,Princeton University
1029,Dan Riskin,University of Toronto
1030,Audie Cornish,The Urban Institute
1031,José Martínez Reyes,University of Massachusetts Boston
1032,Nicholas Weaver,University of California at Berkeley
1033,Melanie Teplinsky,American University
1034,Bowling Green,Western Kentucky University
1035,Bowling Green,Bowling Green State University
1036,Rick Hess,American Enterprise Institute
